call_id,category,precision,recall,f1_score,true_positives,false_positives,false_negatives
<<<<<<< Updated upstream
saas_001,objections,0.667,1.0,0.8,2,1,0
saas_001,pricing_mentions,0.2,1.0,0.333,1,4,0
=======
saas_001,objections,0.5,1.0,0.667,2,2,0
saas_001,pricing_mentions,0.5,1.0,0.667,1,1,0
>>>>>>> Stashed changes
saas_001,competitor_mentions,0.5,1.0,0.667,1,1,0
saas_001,next_steps,0.333,0.5,0.4,1,2,1
saas_002,objections,0.333,1.0,0.5,1,2,0
saas_002,pricing_mentions,0.5,1.0,0.667,1,1,0
saas_002,competitor_mentions,1.0,1.0,1.0,0,0,0
saas_002,next_steps,0.5,1.0,0.667,1,1,0
saas_003,objections,0.667,1.0,0.8,2,1,0
saas_003,pricing_mentions,1.0,1.0,1.0,0,0,0
saas_003,competitor_mentions,1.0,1.0,1.0,1,0,0
saas_003,next_steps,0.5,0.5,0.5,1,1,1
<<<<<<< Updated upstream
saas_004,objections,1.0,1.0,1.0,1,0,0
saas_004,pricing_mentions,0.5,1.0,0.667,1,1,0
=======
saas_004,objections,0.5,1.0,0.667,1,1,0
saas_004,pricing_mentions,0.0,0.0,0.0,0,1,1
>>>>>>> Stashed changes
saas_004,competitor_mentions,1.0,1.0,1.0,0,0,0
saas_004,next_steps,1.0,1.0,1.0,2,0,0
insurance_001,objections,0.667,1.0,0.8,2,1,0
insurance_001,pricing_mentions,0.667,1.0,0.8,2,1,0
insurance_001,competitor_mentions,1.0,1.0,1.0,1,0,0
insurance_001,next_steps,0.0,0.0,0.0,0,1,1
<<<<<<< Updated upstream
realestate_001,objections,1.0,1.0,1.0,1,0,0
realestate_001,pricing_mentions,0.333,1.0,0.5,1,2,0
realestate_001,competitor_mentions,0.0,0.0,0.0,0,1,1
realestate_001,next_steps,1.0,0.5,0.667,1,0,1
automotive_001,objections,0.5,1.0,0.667,1,1,0
automotive_001,pricing_mentions,0.5,1.0,0.667,1,1,0
automotive_001,competitor_mentions,0.5,1.0,0.667,1,1,0
automotive_001,next_steps,0.5,1.0,0.667,1,1,0
ecommerce_001,objections,1.0,1.0,1.0,0,0,0
ecommerce_001,pricing_mentions,0.5,0.5,0.5,1,1,1
ecommerce_001,competitor_mentions,1.0,1.0,1.0,0,0,0
ecommerce_001,next_steps,0.0,0.0,0.0,0,1,1
ecommerce_retail_call_06,objections,0.25,1.0,0.4,1,3,0
ecommerce_retail_call_06,pricing_mentions,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_06,competitor_mentions,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_06,next_steps,0.0,0.0,0.0,0,1,1
ecommerce_retail_call_07,objections,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_07,pricing_mentions,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_07,competitor_mentions,1.0,1.0,1.0,0,0,0
ecommerce_retail_call_07,next_steps,0.0,0.0,0.0,0,2,1
ecommerce_retail_call_08,objections,0.25,1.0,0.4,1,3,0
ecommerce_retail_call_08,pricing_mentions,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_08,competitor_mentions,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_08,next_steps,0.0,0.0,0.0,0,1,1
ecommerce_retail_call_09,objections,0.333,1.0,0.5,1,2,0
ecommerce_retail_call_09,pricing_mentions,0.5,1.0,0.667,1,1,0
ecommerce_retail_call_09,competitor_mentions,1.0,1.0,1.0,0,0,0
ecommerce_retail_call_09,next_steps,0.0,0.0,0.0,0,1,1
auto_motors_call_01,objections,0.333,1.0,0.5,1,2,0
auto_motors_call_01,pricing_mentions,0.5,1.0,0.667,1,1,0
auto_motors_call_01,competitor_mentions,1.0,1.0,1.0,0,0,0
auto_motors_call_01,next_steps,0.0,0.0,0.0,0,0,1
auto_motors_call_02,objections,0.5,1.0,0.667,1,1,0
=======
realestate_001,objections,0.0,0.0,0.0,0,1,1
realestate_001,pricing_mentions,1.0,1.0,1.0,1,0,0
realestate_001,competitor_mentions,1.0,1.0,1.0,1,0,0
realestate_001,next_steps,1.0,1.0,1.0,2,0,0
automotive_001,objections,0.333,1.0,0.5,1,2,0
automotive_001,pricing_mentions,0.0,0.0,0.0,0,2,1
automotive_001,competitor_mentions,1.0,1.0,1.0,1,0,0
automotive_001,next_steps,1.0,1.0,1.0,1,0,0
ecommerce_001,objections,1.0,1.0,1.0,0,0,0
ecommerce_001,pricing_mentions,0.5,0.5,0.5,1,1,1
ecommerce_001,competitor_mentions,1.0,1.0,1.0,0,0,0
ecommerce_001,next_steps,1.0,1.0,1.0,1,0,0
retail_001,objections,1.0,1.0,1.0,0,0,0
retail_001,pricing_mentions,0.667,1.0,0.8,2,1,0
retail_001,competitor_mentions,1.0,1.0,1.0,0,0,0
retail_001,next_steps,0.0,0.0,0.0,0,1,1
customer_success_001,objections,1.0,1.0,1.0,2,0,0
