call_id,rep_word_count,customer_word_count,rep_talk_ratio_pct,customer_talk_ratio_pct,overall_pace_wpm,rep_pace_wpm,rep_filler_count,customer_filler_count
am_renewal_call_01,110,89,55.3,44.7,140.2,143.0,0,0
am_renewal_call_02,115,90,56.1,43.9,147.2,142.2,1,0
am_renewal_call_03,111,87,56.1,43.9,130.3,130.2,0,0
am_renewal_call_04,116,84,58.0,42.0,142.6,147.6,0,0
am_renewal_call_05,114,89,56.2,43.8,142.4,143.9,1,0
am_renewal_call_06,116,83,58.3,41.7,150.8,150.8,0,0
am_renewal_call_07,108,93,53.7,46.3,141.0,156.0,1,0
am_renewal_call_08,108,93,53.7,46.3,134.7,142.3,1,0
am_renewal_call_09,109,92,54.2,45.8,147.9,150.2,1,0
auto_motors_call_01,118,95,55.4,44.6,157.6,157.1,0,0
auto_motors_call_02,122,86,58.7,41.3,143.3,162.4,0,0
auto_motors_call_03,121,86,58.5,41.5,139.4,151.0,0,0
auto_motors_call_04,122,84,59.2,40.8,145.3,152.3,0,0
auto_motors_call_05,122,86,58.7,41.3,157.8,169.9,0,0
auto_motors_call_06,116,83,58.3,41.7,143.6,165.1,0,0
auto_motors_call_07,121,84,59.0,41.0,141.3,161.1,0,0
auto_motors_call_08,115,90,56.1,43.9,133.6,137.8,0,0
auto_motors_call_09,116,88,56.9,43.1,135.9,141.8,0,0
automotive_001,68,48,58.6,41.4,120.6,120.0,0,0
b2b_saas_call_01,107,94,53.2,46.8,146.1,138.0,1,0
b2b_saas_call_02,120,85,58.5,41.5,155.5,175.3,0,0
b2b_saas_call_03,113,89,55.9,44.1,154.3,145.7,1,0
b2b_saas_call_04,115,90,56.1,43.9,147.2,158.5,1,0
b2b_saas_call_05,114,90,55.9,44.1,145.6,155.2,0,0
b2b_saas_call_06,115,85,57.5,42.5,142.6,143.3,0,0
b2b_saas_call_07,117,85,57.9,42.1,145.8,155.5,0,0
b2b_saas_call_08,109,88,55.3,44.7,143.9,158.9,0,0
b2b_saas_call_09,113,89,55.9,44.1,141.7,145.7,1,0
callcenter_001,88,44,66.7,33.3,120.3,122.8,0,1
customer_success_001,80,67,54.4,45.6,119.4,117.1,0,1
ecommerce_001,39,33,54.2,45.8,106.4,108.3,0,0
ecommerce_retail_call_01,109,91,54.5,45.5,137.1,140.5,1,0
ecommerce_retail_call_02,115,87,56.9,43.1,140.1,136.5,1,0
ecommerce_retail_call_03,114,87,56.7,43.3,159.7,153.6,1,0
ecommerce_retail_call_04,109,91,54.5,45.5,135.5,137.6,1,0
ecommerce_retail_call_05,108,92,54.0,46.0,147.2,156.0,1,0
ecommerce_retail_call_06,108,92,54.0,46.0,134.0,139.2,1,0
ecommerce_retail_call_07,116,83,58.3,41.7,138.6,150.8,0,0
ecommerce_retail_call_08,109,92,54.2,45.8,139.4,143.6,1,0
ecommerce_retail_call_09,114,88,56.4,43.6,135.4,153.6,1,0
insurance_001,86,51,62.8,37.2,118.5,117.3,0,0
insurance_policy_call_01,109,94,53.7,46.3,140.7,137.6,1,0
insurance_policy_call_02,123,85,59.1,40.9,138.5,141.7,0,0
insurance_policy_call_03,123,85,59.1,40.9,148.4,156.8,0,0
insurance_policy_call_04,123,84,59.4,40.6,151.3,150.4,0,0
insurance_policy_call_05,116,83,58.3,41.7,137.0,147.6,0,0
insurance_policy_call_06,122,85,58.9,41.1,155.1,166.1,0,0
insurance_policy_call_07,117,83,58.5,41.5,142.6,159.0,0,0
insurance_policy_call_08,116,88,56.9,43.1,141.4,143.4,1,0
insurance_policy_call_09,115,88,56.7,43.3,147.6,145.1,1,0
realestate_001,73,65,52.9,47.1,120.3,118.4,0,0
realty_properties_call_01,123,85,59.1,40.9,150.2,156.8,0,0
realty_properties_call_02,112,96,53.8,46.2,161.0,158.0,1,0
realty_properties_call_03,117,90,56.5,43.5,137.9,132.3,0,0
realty_properties_call_04,117,85,57.9,42.1,155.1,162.7,0,0
realty_properties_call_05,115,90,56.1,43.9,143.8,158.5,1,0
realty_properties_call_06,110,93,54.2,45.8,137.6,138.8,1,0
realty_properties_call_07,110,94,53.9,46.1,139.8,128.1,1,0
realty_properties_call_08,118,84,58.4,41.6,149.3,176.3,0,0
realty_properties_call_09,115,90,56.1,43.9,169.6,174.5,1,0
recruitment_001,69,48,59.0,41.0,122.3,129.4,0,0
retail_001,60,31,65.9,34.1,110.0,117.6,0,1
saas_001,92,70,56.8,43.2,117.0,117.3,0,1
saas_002,82,78,51.2,48.8,118.6,123.0,1,0
saas_003,70,60,53.8,46.2,119.6,130.3,0,1
saas_004,74,62,54.4,45.6,120.3,120.5,1,1
sales_call_01 (1),64,66,49.2,50.8,59.6,54.9,2,0
sales_call_01,58,56,50.9,49.1,58.3,57.0,2,0
sales_call_02 (1),64,56,53.3,46.7,52.8,54.1,1,0
sales_call_02,67,80,45.6,54.4,57.9,54.3,1,1
sales_call_03 (1),60,56,51.7,48.3,55.7,54.5,1,0
sales_call_03,64,66,49.2,50.8,59.6,54.9,2,0
sales_call_04 (1),58,56,50.9,49.1,58.3,57.0,2,0
sales_call_04,71,69,50.7,49.3,60.9,64.5,0,0
sales_call_05 (1),67,80,45.6,54.4,57.9,54.3,1,1
sales_call_05,58,68,46.0,54.0,59.1,54.4,0,1
sales_call_06 (1),58,68,46.0,54.0,59.1,54.4,0,1
sales_call_06,60,56,51.7,48.3,55.7,54.5,1,0
sales_call_07,54,66,45.0,55.0,56.6,50.6,0,0
sales_call_08 (1),104,76,57.8,42.2,71.6,91.8,2,0
sales_call_08,69,68,50.4,49.6,60.2,56.7,1,1
sales_call_09 (1),72,89,44.7,55.3,67.4,61.7,1,0
sales_call_09,64,56,53.3,46.7,52.8,54.1,1,0
sales_call_10 (1),71,69,50.7,49.3,60.9,64.5,0,0
sales_call_10,104,76,57.8,42.2,71.6,91.8,2,0
sales_call_11 (1),69,68,50.4,49.6,60.2,56.7,1,1
sales_call_11,54,66,45.0,55.0,56.6,50.6,0,0
support_telecom_call_01,118,92,56.2,43.8,151.7,153.7,0,0
support_telecom_call_02,110,87,55.8,44.2,143.9,143.0,0,0
support_telecom_call_03,114,88,56.4,43.6,154.3,168.7,1,0
support_telecom_call_04,112,96,53.8,46.2,157.8,172.0,0,0
support_telecom_call_05,118,93,55.9,44.1,143.7,144.3,0,0
support_telecom_call_06,110,87,55.8,44.2,138.8,143.0,0,0
support_telecom_call_07,114,89,56.2,43.8,159.1,153.6,1,0
support_telecom_call_08,114,89,56.2,43.8,139.1,138.1,1,0
support_telecom_call_09,116,83,58.3,41.7,140.2,154.1,0,0
talent_hiring_call_01,109,95,53.4,46.6,141.4,140.5,1,0
talent_hiring_call_02,121,86,58.5,41.5,147.7,161.1,0,0
talent_hiring_call_03,109,95,53.4,46.6,153.9,161.3,1,0
talent_hiring_call_04,114,89,56.2,43.8,147.6,153.6,1,0
talent_hiring_call_05,114,90,55.9,44.1,143.1,143.9,1,0
talent_hiring_call_06,117,91,56.2,43.8,146.7,143.0,0,0
talent_hiring_call_07,109,93,54.0,46.0,148.6,157.4,1,0
talent_hiring_call_08,114,90,55.9,44.1,139.8,130.2,1,0
talent_hiring_call_09,121,85,58.7,41.3,147.0,168.5,0,0
